# HELP namedprocess_namegroup_cpu_seconds_total Cpu user usage in seconds
# TYPE namedprocess_namegroup_cpu_seconds_total counter
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946205
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946205
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946206
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946206
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946207
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946207
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946208
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946208
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946209
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946209
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946210
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:14617",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946210
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946373
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946373
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946374
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946374
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946375
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946375
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946376
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946376
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946377
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946377
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946378
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946378
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946379
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946379
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946380
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946380
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946381
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946381
