int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
98	GeForce RTX 3060	17138	970	geforce rtx 3060 11g
99	GeForce RTX 3060	17138	970	geforce rtx 3060 12g
100	GeForce RTX 3060	17138	970	geforce rtx 3060 12gb
101	TITAN V CEO Edition	16988	1086	titan v ceo edition
102	Radeon RX 5700 XT	16938	948	radeon rx 5700 xt
103	Radeon RX 5700 XT	16938	948	asus radeon rx 5700 xt
104	Radeon RX 5700 XT	16938	948	radeon rx 5700xt
105	Radeon RX 5700 XT	16938	948	radeonrx5700xt
106	Tesla P40	16864	681	tesla p40
107	Radeon Pro VII	16853	720	radeon pro vii
108	Radeon VII	16832	790	radeon vii
109	Radeon VII	16832	790	radeonvii
110	Radeon RX 5700 XT 50th Anniversary	16696	960	radeon rx 5700 xt 50th anniversary
111	Radeon RX 5700 XT 50th Anniversary	16696	960	radeonrx5700xt50thanniversary
112	GeForce RTX 3080 Laptop GPU	16676	658	geforce rtx 3080 laptop
113	GeForce RTX 2060 SUPER	16580	876	geforce rtx 2060 super
114	GeForce RTX 2060 SUPER	16580	876	geforce gtx 2060 super
115	GeForce RTX 2060 SUPER	16580	876	geforce gtx 2060 super 6gb
116	GeForce RTX 2060 SUPER	16580	876	geforce gtx 2060s 6gb
117	GeForce RTX 2060 SUPER	16580	876	geforce gtx 2060super
118	GeForce RTX 2060 SUPER	16580	876	geforce rtx 2060 super 8gb
119	GeForce RTX 2060 SUPER	16580	876	geforce rtx 2060s
120	GeForce RTX 2060 SUPER	16580	876	geforce rtx 2060super
121	GeForce RTX 2060 SUPER	16580	876	geforce rtx2060 8gd6 super
122	GeForce RTX 2060 SUPER	16580	876	geforcertx2060super
123	Radeon RX 6600 XT	16247	959	radeon rx 6600 xt
124	Tesla V100-SXM2-16GB	16235	406	tesla v100-sxm2-16gb
125	Quadro RTX 5000	16172	769	quadro rtx 5000
126	RTX A5000 Laptop GPU	16138	622	rtx a5000 laptop
127	GeForce RTX 2070	16134	833	geforce rtx 2070
